country,2010,2011,2012,2013,2014
USA,48374.05646,49781.35749,51456.65873,52980.04363,54629.49517
"China, P. R.",4514.94052,5574.187093,6264.643878,6991.853866,7590.016441
France,40705.76623,43807.4759,40850.35237,42627.65244,42732.5665
Russia/USSR,10674.9972,13323.88338,14078.83057,14487.27987,12735.9184
UK,38292.87113,41020.37696,41294.5148,42309.03992,46331.97741
Japan,42909.23415,46203.70952,46679.26543,38633.70806,36194.41561
Germany,41788.04479,45936.08126,44010.93139,46441.67713,47821.91746
India,1387.880084,1471.658439,1449.664875,1455.102191,1581.510703
Saudi Arabia,18753.98123,23256.09561,24883.18971,24646.02087,24160.95854
Italy,35877.87193,38364.94267,34844.49809,35420.87761,34908.50097
Brazil,11124.24578,13042.42193,11922.51306,11711.0044,11384.41501
"Korea, South",22151.20889,24155.82985,24453.97191,25997.88105,27970.49515
Australia,51845.65486,62216.54713,67646.10385,67627.77333,61925.49606
Canada,47463.63119,52086.53352,52733.47369,52305.25839,50235.38551
Turkey,10111.51771,10584.16396,10646.03553,10975.07493,10515.00782
UAE,34341.91129,39901.22092,41712.12421,42831.08913,43962.71369
Spain,30737.83227,31832.23808,28647.83524,29370.66387,29767.35156
Israel,30736.36389,33707.32496,32818.85838,36281.1999,37207.9945